"Range","Prefix","Number","My Payterm","My Payout","Limits"
"Indonesia Smart TF02","","6288295207856","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288202428104","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288231023361","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288188591087","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288153237045","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288137794061","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288192190476","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288130865685","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288151037308","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288184795861","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288207622509","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288266563081","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288207502635","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288207695650","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288237740556","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288200419559","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288129520383","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288240723351","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288229914069","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288231496465","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288190837422","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288292699673","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288277238551","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288117490258","Weekly","$ 0","SD : 0 | SW : 0"
"Indonesia Smart TF02","","6288260160046","Weekly","$ 0","SD : 0 | SW : 0"
