"Range","Prefix","Number","My Payterm","My Payout","Limits"
"Senegal Tigo TF10","","221763901569","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221763325949","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221762659801","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221767101540","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221764271110","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221767156517","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221765886439","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221762563904","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221766049333","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221763195370","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221761410843","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221763717593","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221763485118","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221766230519","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221769546081","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221764847780","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221763810528","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221768494593","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221761858839","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221762528896","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221768780833","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221769587420","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221765121728","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221766161617","Weekly","$ 0","SD : 0 | SW : 0"
"Senegal Tigo TF10","","221762950653","Weekly","$ 0","SD : 0 | SW : 0"
